,bb_length,bb_std_dev,Returns%,MaxR
0,16,1.0,-31.12315012750119,
1,16,1.5,-20.985356596075334,
2,16,2.0,-6.635925013388814,
3,16,2.5,13.288006555360397,MR
4,18,1.0,-30.36509646039144,
5,18,1.5,-17.247321773182932,
6,18,2.0,-2.160049698628484,
7,18,2.5,4.583350717814369,
8,20,1.0,-25.758459546360825,
9,20,1.5,-9.494878891947977,
10,20,2.0,0.09496039744131224,
11,20,2.5,-0.6466203354837035,
12,22,1.0,-23.699886138912674,
13,22,1.5,-9.59694764966892,
14,22,2.0,-0.5278705509999639,
15,22,2.5,-0.6466203354837035,
