,cci_length,cci_mul,Returns%,MaxR
0,15,0.009999999999999998,133.2354794943091,MR
1,15,0.011,116.43710149683832,
2,15,0.012,97.29300291815025,
3,15,0.013000000000000001,72.90198767738917,
4,15,0.014000000000000002,73.48944420605159,
5,15,0.015000000000000003,66.51832138167364,
6,15,0.016000000000000004,74.40191815493341,
7,15,0.017000000000000005,40.874593069617106,
8,15,0.018000000000000006,43.340461981677834,
9,15,0.019000000000000006,37.23897178616528,
10,15,0.020000000000000007,39.31154499298586,
11,17,0.009999999999999998,113.84009295731497,
12,17,0.011,83.53471316167992,
13,17,0.012,61.03521614605208,
14,17,0.013000000000000001,43.05812474440776,
15,17,0.014000000000000002,48.6295888989562,
16,17,0.015000000000000003,58.23587898432413,
17,17,0.016000000000000004,58.529059092925024,
18,17,0.017000000000000005,44.60765930722937,
19,17,0.018000000000000006,54.0101476894331,
20,17,0.019000000000000006,59.94322074610358,
21,17,0.020000000000000007,52.17684459619039,
22,19,0.009999999999999998,82.36807975556124,
23,19,0.011,80.88166539544778,
24,19,0.012,64.45486191847309,
25,19,0.013000000000000001,51.32895920884397,
26,19,0.014000000000000002,55.21335690098084,
27,19,0.015000000000000003,44.378824719936546,
28,19,0.016000000000000004,64.34882843378242,
29,19,0.017000000000000005,61.54127916609494,
30,19,0.018000000000000006,44.62188532736644,
31,19,0.019000000000000006,43.21156549500208,
32,19,0.020000000000000007,32.88461767780203,
33,21,0.009999999999999998,82.7901111837393,
34,21,0.011,66.30933664533453,
35,21,0.012,50.52745081033336,
36,21,0.013000000000000001,57.332570961485146,
37,21,0.014000000000000002,40.419945049293574,
38,21,0.015000000000000003,38.260360710774535,
39,21,0.016000000000000004,38.57536172480121,
40,21,0.017000000000000005,47.890022296779165,
41,21,0.018000000000000006,49.9850062363644,
42,21,0.019000000000000006,58.05040775271186,
43,21,0.020000000000000007,54.7580698470409,
44,23,0.009999999999999998,78.16369271192184,
45,23,0.011,69.01368921157339,
46,23,0.012,59.714339851140096,
47,23,0.013000000000000001,35.698867677927836,
48,23,0.014000000000000002,41.984738564031375,
49,23,0.015000000000000003,35.28742330386447,
50,23,0.016000000000000004,48.64191601494352,
51,23,0.017000000000000005,43.67302803803187,
52,23,0.018000000000000006,43.735012539773294,
53,23,0.019000000000000006,32.568714983949974,
54,23,0.020000000000000007,37.342013213307695,
