,po_short_length,po_long_length,Returns%,MaxR
0,6,16,102.91565677935469,MR
1,6,18,96.19105022142637,
2,6,20,88.61513175985925,
3,6,22,83.14322700692102,
4,6,24,79.45041597015168,
5,8,16,77.8588434218835,
6,8,18,66.96540177646818,
7,8,20,71.314322993341,
8,8,22,57.55043500860239,
9,8,24,55.33782183030419,
10,10,16,64.13183574065545,
11,10,18,59.679528814035535,
12,10,20,56.92679536617399,
13,10,22,46.49424786939662,
14,10,24,39.695141873861644,
15,12,16,57.80514575185933,
16,12,18,47.68243607740408,
17,12,20,38.11928534776479,
18,12,22,38.286250865848274,
19,12,24,38.538259703450706,
