,rsi_length,Returns%,MaxR
0,4,264.42491558279175,MR
1,5,160.69197970252304,
2,6,176.0332312028691,
3,7,181.2790070968568,
4,8,185.42871912686962,
5,9,84.07331473744088,
6,10,80.01076962942227,
7,11,58.20862732261443,
8,12,44.87102220455833,
9,13,46.60655583937972,
10,14,50.479719412531665,
11,15,55.03584389990712,
12,16,51.84742380321413,
13,17,63.38234272469617,
14,18,43.949477646938874,
15,19,41.076894935142576,
16,20,17.12940042441177,
17,21,17.501253829706798,
18,22,22.95772978191674,
19,23,24.45781995187822,
