,tsi_long_length,tsi_short_length,Returns%,MaxR
0,19,9.0,18.045640330224003,
1,19,10.0,18.26715111991551,
2,19,11.0,20.439006506871593,MR
3,19,12.0,5.241652202674274,
4,19,13.0,4.599799949805387,
5,19,14.0,4.599799949805387,
6,19,15.0,3.7320036789855777,
7,19,16.0,3.7320036789855777,
8,21,9.0,18.45079944593698,
9,21,10.0,5.241652202674274,
10,21,11.0,5.241652202674274,
11,21,12.0,5.241652202674274,
12,21,13.0,3.7320036789855777,
13,21,14.0,3.7320036789855777,
14,21,15.0,3.7320036789855777,
15,21,16.0,3.7320036789855777,
16,23,9.0,5.241652202674274,
17,23,10.0,5.241652202674274,
18,23,11.0,4.368530902631406,
19,23,12.0,3.7320036789855777,
20,23,13.0,3.7320036789855777,
21,23,14.0,3.7320036789855777,
22,23,15.0,3.7320036789855777,
23,23,16.0,3.7320036789855777,
24,25,9.0,5.241652202674274,
25,25,10.0,5.241652202674274,
26,25,11.0,3.7320036789855777,
27,25,12.0,3.7320036789855777,
28,25,13.0,3.7320036789855777,
29,25,14.0,3.7320036789855777,
30,25,15.0,3.7320036789855777,
31,25,16.0,3.7320036789855777,
32,27,9.0,5.241652202674274,
33,27,10.0,4.368530902631406,
34,27,11.0,3.7320036789855777,
35,27,12.0,3.7320036789855777,
36,27,13.0,3.7320036789855777,
37,27,14.0,3.7320036789855777,
38,27,15.0,3.7320036789855777,
39,27,16.0,3.7320036789855777,
40,29,9.0,5.241652202674274,
41,29,10.0,4.368530902631406,
42,29,11.0,3.7320036789855777,
43,29,12.0,3.7320036789855777,
44,29,13.0,3.7320036789855777,
45,29,14.0,3.7320036789855777,
46,29,15.0,3.7320036789855777,
47,29,16.0,3.7320036789855777,
